event_idx,symbol,earnings_date,t2_date,R1,Gap2,signal,target_price,entry_price,t2_high,t2_low,t2_close
0,JPM,2026-01-13,2026-01-15,-0.009745899002894687,0.001948874524961841,NO_TRADE_SMALL_R1,307.87,308.47,312.94,307.75,309.34
1,WMT,2025-11-20,2025-11-24,-0.016711791616095706,0.00037979491074824345,NO_TRADE_SMALL_GAP,105.32,105.36,106.27,103.76,104.06
2,XOM,2025-10-31,2025-11-04,-0.005246589716684125,-0.0033403656821379135,NO_TRADE_SMALL_R1,113.76,113.38,114.35,112.51,114.14
3,AAPL,2025-10-30,2025-11-03,-0.0037951363301399477,0.00018493176018052893,NO_TRADE_SMALL_R1,270.37,270.42,270.85,266.25,269.05
4,JPM,2025-10-14,2025-10-16,0.011950476694915224,-0.0011122378880564776,NO_TRADE_SMALL_GAP,305.69,305.35,308.68,297.07,298.54
5,JNJ,2025-10-14,2025-10-16,0.0016767094576892738,0.0008892608672910196,NO_TRADE_SMALL_R1,191.17,191.34,193.05,190.43,192.12
6,WMT,2025-08-21,2025-08-25,-0.01153532053899542,0.0017556542393886154,NO_TRADE_SMALL_GAP,96.83,97.0,97.58,96.07,96.07
7,XOM,2025-08-01,2025-08-05,-0.02070412258299892,-0.00139703827884885,NO_TRADE_SMALL_GAP,107.37,107.22,107.82,106.07,107.24
8,AAPL,2025-07-31,2025-08-04,-0.02500361323890732,0.010524755410613595,LONG,202.38,204.51,207.88,201.68,203.35
9,JNJ,2025-07-16,2025-07-18,-0.010923655783468988,0.005828936065775059,LONG,162.98,163.93,165.1,163.36,163.7
10,JPM,2025-07-15,2025-07-17,-0.002547548420869017,-0.008326919039955194,NO_TRADE_SMALL_R1,285.82,283.44,290.3,283.44,289.9
11,WMT,2025-05-15,2025-05-19,0.01961598339387649,-0.016184853420195378,SHORT,98.24,96.65,98.28,95.81,98.12
12,XOM,2025-05-02,2025-05-06,-0.027681009321156136,0.006003679674639439,LONG,103.27,103.89,105.98,103.48,104.71
13,AAPL,2025-05-01,2025-05-05,-0.03736171010688172,-0.010956902848794692,NO_TRADE_SAME_DIRECTION,205.35,203.1,204.1,198.21,198.89
14,JNJ,2025-04-15,2025-04-17,0.0018877750292929374,0.0016243259047494796,NO_TRADE_SMALL_R1,153.91,154.16,159.44,154.16,157.47
15,JPM,2025-04-11,2025-04-15,-0.00626587637595255,0.005879345603271968,NO_TRADE_SMALL_R1,234.72,236.1,238.65,232.82,233.13
16,WMT,2025-02-20,2025-02-24,-0.024997428248122566,-0.006330449461911747,NO_TRADE_SAME_DIRECTION,94.78,94.18,94.64,92.12,93.67
17,XOM,2025-01-31,2025-02-04,0.002433773284657992,-0.003548417219161548,NO_TRADE_SMALL_R1,107.09,106.71,110.28,106.53,109.96
18,AAPL,2025-01-30,2025-02-03,-0.006692200850204166,-0.025466101694915255,NO_TRADE_SMALL_R1,236.0,229.99,231.83,225.7,228.01
19,JNJ,2025-01-22,2025-01-24,0.009430715219935104,0.0011593016912165854,NO_TRADE_SMALL_R1,146.64,146.81,147.63,146.38,146.82
20,JPM,2025-01-15,2025-01-17,0.00760848028531802,-0.0005112675502420005,NO_TRADE_SMALL_R1,254.27,254.14,260.62,252.14,259.16
21,WMT,2024-11-19,2024-11-21,0.006697459584295684,0.0030970406056434197,NO_TRADE_SMALL_R1,87.18,87.45,88.64,86.93,88.39
22,XOM,2024-11-01,2024-11-05,0.0318399304045236,0.0039625663940645595,NO_TRADE_SAME_DIRECTION,118.61,119.08,119.21,118.01,118.96
23,AAPL,2024-10-31,2024-11-04,-0.01327962462927712,-0.008613341707415456,NO_TRADE_SAME_DIRECTION,222.91,220.99,222.79,219.71,222.01
24,JNJ,2024-10-15,2024-10-17,0.00109689213893982,-0.00012174336498671501,NO_TRADE_SMALL_R1,164.28,164.26,165.0,163.63,164.47
25,JPM,2024-10-11,2024-10-15,-0.003643888613972801,0.009842875203178725,NO_TRADE_SMALL_R1,221.48,223.66,225.45,221.82,222.39
26,WMT,2024-08-15,2024-08-19,0.0036895326591963595,-0.0008168822328115111,NO_TRADE_SMALL_R1,73.45,73.39,73.98,73.34,73.72
27,XOM,2024-08-02,2024-08-06,-0.018052703627652322,-0.0027881850657837104,NO_TRADE_SAME_DIRECTION,114.77,114.45,115.63,113.63,114.16
28,AAPL,2024-08-01,2024-08-05,0.006869389998168218,-0.09446920767761302,NO_TRADE_SMALL_R1,219.86,199.09,213.5,196.0,209.27
29,JNJ,2024-07-17,2024-07-19,-0.007408353557287195,0.007013254407412184,NO_TRADE_SMALL_R1,155.42,156.51,156.51,154.12,154.69
30,WMT,2024-05-16,2024-05-20,0.009998437744102473,-0.003557617942768765,NO_TRADE_SMALL_R1,64.65,64.42,64.76,63.87,64.18
31,AAPL,2024-05-02,2024-05-06,0.05981621684101013,-0.0056167520994655495,SHORT,183.38,182.35,184.2,180.42,181.71
32,XOM,2024-04-26,2024-04-30,0.014242115971515812,-0.004429956536275537,SHORT,119.64,119.11,120.2,117.98,118.27
33,JNJ,2024-04-16,2024-04-18,0.002215299411561178,0.0014505767769563693,NO_TRADE_SMALL_R1,144.77,144.98,145.8,143.13,145.74
34,WMT,2024-02-20,2024-02-22,-0.0122824974411464,0.0010362694300518616,NO_TRADE_SMALL_GAP,57.9,57.96,58.49,57.77,58.47
35,XOM,2024-02-02,2024-02-06,-0.004118858487790589,0.00512063023141307,NO_TRADE_SMALL_R1,101.55,102.07,103.04,101.57,102.25
36,AAPL,2024-02-01,2024-02-05,-0.005405116129722942,0.012375571697605725,NO_TRADE_SMALL_R1,185.85,188.15,189.25,185.84,187.68
37,JNJ,2024-01-23,2024-01-25,-0.005318816094111667,0.0002516356316053514,NO_TRADE_SMALL_R1,158.96,159.0,159.62,158.47,159.56
